S.No.,Name,Main City,State,Rank
317,"Himachal Pradesh University",Shimla,Himachal Pradesh
318,"Hindustan Institute of Technology and Science ",Chennai,Tamil Nadu,95
319,"Hindusthan College of Engineering and Technology",Coimbatore,Tamil Nadu
320,"Hindusthan Institute of Technology",Coimbatore,Tamil Nadu
321,"HIRASUGAR INSTIUTE OF TECHNOLOGY",Belgaum,Karnataka
322,"HKE`s SLN College of Engineering",Raichur,Karnataka
323,"HMR Institute of Technology & Management",North West,Delhi
324,"Holy Mary Institute of Technology & Science",Rangareddy,Telangana
325,"I. E. S. College of Technology",Bhopal,Madhya Pradesh
326,"I. F. E. T. College of Engineering",Viluppuram,Tamil Nadu
327,"I. T. S. Engineering College",Greater Noida,Uttar Pradesh
328,"IIMT College of Engineering",Greater Noida,Uttar Pradesh
329,"IMS ENGINEERING COLLEGE",Ghaziabad,Uttar Pradesh
330,"Inderprastha Engineering College",Ghaziabad,Uttar Pradesh
331,"Indian Institute of Engineering Science and Technology",Shibpur,West Bengal,19
332,"Indian Institute of Food Processing Technology (IIFPT)",Thanjavur,Tamil Nadu
333,"Indian Institute of Information Technology Allahabad",Allahabad,Uttar Pradesh,82
334,"Indian Institute of Information Technology Guwahati",Guwahati,Assam
335,"Indian Institute of Information Technology, Design & Manufacturing",Chennai,Tamil Nadu,197
336,"Indian Institute of Space Science and Technology",Thiruvananthapuram,Kerala,30
337,"Indian Institute of Technology (Banaras Hindu University) Varanasi",Varanasi,Uttar Pradesh,11
338,"Indian Institute of Technology (Indian School of Mines) Dhanbad",Dhanbad,Jharkhand,15
339,"Indian Institute of Technology Bhubaneswar",Bhubaneswar,Odisha,17
340,"Indian Institute of Technology Bombay",Mumbai,Maharashtra,3
341,"Indian Institute of Technology Delhi",New Delhi,Delhi,2
342,"Indian Institute of Technology Gandhinagar",Gandhinagar,Gujarat,24
343,"Indian Institute of Technology Guwahati",Guwahati,Assam,7
344,"Indian Institute of Technology Hyderabad",Hyderabad,Telangana,8
345,"Indian Institute of Technology Indore",Indore,Madhya Pradesh,13
346,"Indian Institute of Technology Jodhpur",Jodhpur,Rajasthan,50
347,"Indian Institute of Technology Kanpur",Kanpur,Uttar Pradesh,5
348,"Indian Institute of Technology Kharagpur",Kharagpur,West Bengal,4
349,"Indian Institute of Technology Madras",Chennai,Tamil Nadu,1
350,"Indian Institute of Technology Mandi",Mandi,Himachal Pradesh,20
351,"Indian Institute of Technology Patna",Patna,Bihar,22
352,"Indian Institute of Technology Roorkee",Roorkee,Uttarakhand,6
353,"Indian Institute of Technology Ropar",Rupnagar,Punjab,29
354,"Indira Gandhi Delhi Technical University for Women",Delhi,Delhi,162
355,"Indraprastha Institute of Information Technology",New Delhi,Delhi,55
356,"INDUS UNIVERSITY",Gandhinagar,Gujarat
357,"Institute of Aeronautical Engineering",Hyderabad,Telangana,140
358,"Institute of Chemical Technology",Mumbai,Maharashtra,12
359,"Institute of Engineering & Management",Kolkata,West Bengal,101
360,"Institute of Food and Dairy Technology",Chennai,Tamil Nadu
361,"Institute of Road and Transport Technology",Erode,Tamil Nadu
362,"International Institute of Information Technology (I?It)",Pune,Maharashtra
363,"International Institute of Information Technology Bangalore",Bengaluru,Karnataka,65
364,"International Institute of Information Technology Hyderabad",Hyderabad,Telangana,39
365,"IPS ACADEMY, INSTITUTE OF ENGINEERING & SCIENCE, INDORE (MP)",Indore,Madhya Pradesh
366,"ITM University",Gwalior,Madhya Pradesh
367,"J. D. College of Engineering",Nagpur,Maharashtra
368,"J. K. Lakshmipat University",Jaipur,Rajasthan
369,"J. N. N. College of Engineering",Shimoga,Karnataka
370,"J. N. N. Institute of Engineering",Thiruvallur,Tamil Nadu
371,"J.J. College of Engineering and Technology",Tiruchirappalli,Tamil Nadu
372,"Jadavpur University",Kolkata,West Bengal,14
373,"Jai Narain College of Technology",Bhopal,Madhya Pradesh
374,"Jain university",Bengaluru,Karnataka,115
375,"Jaipur Engineering College & Research Center,jaipur",Jaipur,Rajasthan
376,"Jamia Hamdard",New Delhi,Delhi
377,"Jamia Millia Islamia",New Delhi,Delhi,27
378,"Jawaharlal Darda Institute of Engineering & Technology",Yavatmal,Maharashtra
379,"Jawaharlal Nehru Technological University",Anantapur,Andhra Pradesh
380,"Jawaharlal Nehru Technological University",Hyderabad,Telangana,45
381,"Jaya Institute of Technology",Thiruvallur,Tamil Nadu
382,"Jaypee Institute of Information Technology",Noida,Uttar Pradesh,80
383,"Jaypee University of Engeenering & Technology",Guna,Madhya Pradesh
384,"Jaypee University of Information Technology",Solan,Himachal Pradesh,121
385,"JB Institute of Engineering & Technology",Rangareddy,Telangana
386,"JCT College of Engineering and Technology",Coimbatore,Tamil Nadu
387,"JECRC University",Jaipur,Rajasthan
388,"JEPPIAAR INSTITUTE OF TECHNOLOGY",Kunnam,Tamil Nadu
